centroide_lat,centroide_lon,population,con_fibra
-31.3968471082745,-64.0598690981123,27620.5,False
-32.8673131267475,-68.779539700913,27620.5,False
-34.818755035018,-58.4233878258472,27620.5,False
-34.844020734727,-58.3627535292892,27620.5,False
-34.7973726678595,-58.3884529337359,27620.5,False
-34.8281717078487,-58.391033876775,98859.0,False
-34.7975588663845,-58.3352044170245,41176.0,False
-34.8192915430555,-58.3418543079073,27620.5,False
-34.8883362582313,-58.3827874554173,57878.0,False
-34.7863165982708,-58.3698423146283,41109.0,False
-34.8607298436239,-58.3891848898302,47622.0,False
-34.7973596083698,-58.3616711607296,57351.0,False
-34.7856525531101,-58.3195680327004,91322.0,False
-34.7636323626806,-58.3433914665336,2064.0,False
-34.6837730568077,-58.3744414837129,64340.0,False
-34.6680837299877,-58.3877465009579,27620.5,False
-34.6817960638597,-58.3463107872911,60752.0,False
-34.6945766428955,-58.3304564528104,62315.0,False
-34.7040788191542,-58.3172095095929,65881.0,False
-34.6844598100355,-58.3077371090541,27620.5,False
-34.6638295089907,-58.3627373569237,366117.0,True
-34.6679918825796,-58.3571256035498,27620.5,False
-34.6501342165535,-58.3449022624786,27620.5,False
-38.7227702772442,-62.2727419998288,299101.0,False
-38.7492722104635,-62.1908892770901,27620.5,False
-38.7794923647948,-62.2655806941397,27620.5,False
-38.693558630756,-62.3350174250385,27620.5,False
-38.7414156242007,-62.1713754950049,27620.5,False
-34.7630163121184,-58.2121691523322,180523.0,False
-34.7770033567074,-58.2388864838825,27620.5,False
-34.8062523505149,-58.2153884798708,27620.5,False
-34.8848301020853,-58.1738517384337,27620.5,False
-34.7918465006493,-58.1516189728872,27620.5,False
-34.8339094499703,-58.1838076894883,27620.5,False
-34.8361790912767,-58.0942893323644,27620.5,False
-34.7818075686994,-58.1701856172611,27620.5,False
-34.7877872381146,-58.203185368401,27620.5,False
-34.7754718758991,-58.1994415833972,27620.5,False
-34.8742950475612,-57.8547261229371,27620.5,False
-34.9302812245063,-57.8853110232107,27620.5,False
-34.9023475254739,-57.9248290975673,27620.5,False
-34.8702937888262,-57.8833253506658,88470.0,False
-34.9110238385634,-57.7842688411965,27620.5,False
-34.9069331564209,-57.9163481974945,27620.5,False
-34.8787305631142,-57.8673760512396,34005.0,False
-34.8821680150728,-57.8595091999308,27620.5,True
-34.8952719649896,-57.9074962230535,26359.0,False
-34.887154968699,-57.8980863322648,27620.5,False
-34.9240533019987,-57.8998852278413,27620.5,False
-34.8769713556362,-57.8743971198173,27620.5,False
-34.8829755565619,-57.8447163179186,27620.5,False
-38.8781733532983,-62.0794804613607,58315.0,False
-38.8543891102131,-62.116520630945,27620.5,False
-35.5742063770635,-58.011281450951,47524.0,False
-35.5353900516083,-58.0139947303222,27620.5,False
-34.8947877637158,-57.934267255707,27620.5,False
-34.8624180059336,-57.9089420661935,54463.0,False
-34.845519765725,-57.8947826129536,27620.5,False
-34.8098160029732,-57.9837987384422,27620.5,False
-34.8871864189301,-57.9484238171254,27620.5,False
-34.3454707314612,-58.7928104368433,54678.0,False
-34.3115230240373,-58.7643460148419,27620.5,False
-34.4230339103436,-58.7394613036842,59335.0,False
-34.3892350663582,-58.7378666055156,27620.5,False
-34.3307009506977,-58.8458079535386,27620.5,False
-34.3852450911802,-58.8278056477923,27620.5,False
-34.4006498402276,-58.7762915155144,27620.5,False
-34.8570183979281,-58.4979072193515,27620.5,False
-34.8308533167404,-58.4948836966085,27620.5,False
-34.802641552529,-58.4506754302196,27620.5,False
-34.8163557987773,-58.4682642320418,27620.5,False
-34.7627878709863,-58.4875479930927,27620.5,False
-34.3897717062025,-59.0807782961489,27620.5,False
-34.6474573245916,-58.6218615494078,99066.0,False
-34.3718922819947,-59.1246837768692,27620.5,False
-34.3931798584401,-59.034704046908,27620.5,False
-34.7925035356355,-58.5246396303008,27620.5,False
-34.8773939810943,-58.5075326703501,27620.5,False
-34.9117467019627,-58.5921665202679,27620.5,False
-34.852762171254,-58.5232011263057,160219.0,False
-34.8755663651384,-58.5419814148017,27620.5,False
-34.8909591657384,-58.5665543633085,27620.5,False
-34.8166106308631,-58.2313139527388,27620.5,False
-34.8141798503006,-58.2412180629062,27620.5,False
-34.8089857687717,-58.2761500162399,27620.5,False
-34.8075484180765,-58.3038510563683,27620.5,False
-34.8666834881557,-58.1985573691944,27620.5,False
-34.8712963131667,-58.275494514116,27620.5,False
-34.8573772072023,-58.2738131215556,27620.5,False
-34.8370639708137,-58.2821795695129,27620.5,True
-34.8269738162855,-58.2714023284921,27620.5,False
-34.9465243767608,-58.2672747979278,27620.5,False
-34.925691977811,-58.2646975204026,27620.5,False
-37.0202869812865,-57.1033880422358,27620.5,False
-37.0019581688764,-57.1358378165266,18089.0,True
-37.9401411938582,-57.5499424869415,27620.5,False
-37.8884221513547,-57.6069464405144,27620.5,False
-38.0064494189987,-57.5438377776641,593337.0,True
-38.0669527856915,-57.5510392309588,27620.5,False
-37.8315957271005,-57.6221111182623,27620.5,False
-37.8925252468278,-57.824524761927,27620.5,True
-37.9105013275376,-57.7488101521018,27620.5,True
-34.9361065477829,-57.9849314095121,27620.5,False
-37.9332671924047,-57.7755600822281,27620.5,True
-37.9476275878402,-57.77786713584,27620.5,True
-34.5566851720057,-58.9383850232165,27620.5,False
-34.6843060049161,-58.9582932640657,27620.5,False
-34.5898473179259,-58.9060067802104,27620.5,False
-34.6082064832342,-58.9510798915332,85315.0,False
-34.5715031294949,-58.54862547602,27620.5,False
-34.5656365391558,-58.5861315584461,27620.5,False
-34.5752076863993,-58.5747385273168,27620.5,False
-34.5792515400387,-58.5391722889903,27620.5,False
-34.5419681326262,-58.5948396946441,27620.5,False
-34.5895518422474,-58.5533940644005,27620.5,False
-34.5480834920372,-58.5570844833764,35301.0,False
-34.589532906584,-58.5408713062038,27620.5,False
-34.5820147085382,-58.5271718625982,27620.5,False
-34.5588681651042,-58.5766495984483,27620.5,False
-34.545938618761,-58.5687084653978,27620.5,False
-34.512498375132,-58.5798325518484,27620.5,False
-34.5526569079266,-58.5671531806294,27620.5,False
-34.5605404416031,-58.5585407880374,27620.5,False
-34.5427485614002,-58.5765230308112,27620.5,False
-34.5510717509051,-58.5288645042689,27620.5,False
-34.5380682355113,-58.5490906736237,27620.5,False
-34.5309953187917,-58.5763110837131,27620.5,False
-34.5720673319943,-58.5623374835945,27620.5,False
-34.5842784114665,-58.5626117832714,27620.5,True
-34.5921434513227,-58.5240586094847,27620.5,False
-34.568894989108,-58.5244410540779,27620.5,False
-34.5649112926281,-58.5926190011622,27620.5,False
-34.5563623053306,-58.5388248449526,27620.5,False
-34.5945206825307,-58.5325295991156,27620.5,False
-34.5635914058489,-58.5331782429352,27620.5,False
-34.5650741337217,-58.5418709454264,27620.5,False
-34.5898383931687,-58.6374166101562,185641.0,False
-34.6199585078419,-58.6401617933723,27620.5,False
-34.5796982785245,-58.6570781965219,27620.5,False
-34.6506041192994,-58.6717219575446,27620.5,False
-34.6637659933335,-58.6654781913185,27620.5,False
-34.6183464048832,-58.6967237126462,27620.5,False
-34.4760818203661,-58.799352148364,27620.5,False
-34.5217463442325,-58.7553740815986,216637.0,False
-34.4882149333314,-58.7782682636295,41390.0,False
-36.6368892772513,-56.6900593491458,27620.5,False
-36.6601549623962,-56.6824598231567,27620.5,False
-36.7295552936745,-56.6772956263397,25520.0,False
-36.717111900525,-56.6770670772511,27620.5,False
-36.6867920285586,-56.6790608712811,12862.0,False
-36.5738769791921,-56.6908899030479,8070.0,False
-36.5405925007164,-56.6929407422398,27620.5,False
-34.7069837345392,-58.5191686234805,27620.5,False
-34.7157731493272,-58.5349456166451,27620.5,False
-34.773025312187,-58.6440393936429,238067.0,False
-34.7469935775157,-58.5892567981998,27620.5,False
-34.7109702658698,-58.5858084188647,190696.0,False
-34.686462325254,-58.5256461385691,27620.5,False
-31.5376830055164,-64.3034450668409,27620.5,False
-34.6652765210767,-58.5317739283029,71479.0,False
-34.7090985315633,-58.6256335195148,147965.0,False
-34.6454993387505,-58.5596657431949,120346.0,False
-34.6811417496029,-58.563738604389,136604.0,False
-34.6811417496029,-58.563738604389,47061.0,False
-34.6990522094808,-58.5078575449595,27620.5,False
-34.7761539422411,-58.7295673036974,27620.5,False
-34.6881322748108,-58.4931738114066,27620.5,False
-34.6635308896038,-58.582392278561,94403.0,False
-34.837653604909,-58.6469682245822,27620.5,False
-34.6908323695067,-58.3819322387066,64340.0,False
-34.7141603772546,-58.3743055982995,27620.5,False
-34.7037709376997,-58.4005603089343,27620.5,False
-34.7295854826249,-58.3542214969464,85060.0,False
-34.7259102843799,-58.3967018532792,27620.5,False
-34.6714140127777,-58.4090486458359,27620.5,False
-34.9867591259577,-58.0908657138948,27620.5,False
-35.0244808823111,-58.0781379447636,27620.5,False
-34.9996034102201,-57.8924655082918,27620.5,False
-34.8913472133746,-58.1319357401525,27620.5,False
-34.9389300458219,-57.8775985098977,27620.5,False
-34.9343317745387,-58.001724758917,27620.5,False
-34.9251183154547,-58.0164733151666,27620.5,False
-34.8674740179381,-58.0474227947356,32646.0,False
-34.9483129769295,-57.9948819613567,27620.5,False
-34.9054472269577,-58.0436367820879,27620.5,False
-34.8988594896955,-58.0106354609076,27620.5,False
-34.9456752062054,-58.0364808189891,27620.5,False
-34.9233041542336,-58.0033796785846,27620.5,False
-34.9154959630273,-57.9479884807815,904789.0,True
-34.999057389434,-58.0486158300406,27620.5,False
-34.9593559474995,-57.9807340188431,27620.5,False
-34.8818546802863,-58.0103208206183,27620.5,False
-34.8848037325506,-57.9915077360675,27620.5,False
-34.9612545572956,-57.9503822406101,27620.5,False
-34.89176451333,-57.9741732381676,41705.0,False
-34.8766725098732,-58.0839931356978,27620.5,False
-34.8514668822838,-58.085432935183,27620.5,True
-34.939443760817,-57.9208330967288,27620.5,False
-34.9989648281153,-57.8583627572539,27620.5,False
-34.9614360980661,-57.9005707784341,27620.5,False
-34.9874908734581,-57.8597523447218,27620.5,False
-34.7447138351125,-58.3929263130465,61072.0,False
-34.7930707191435,-58.4262793211745,41463.0,False
-34.7596127748886,-58.3994691356768,112580.0,False
-34.7726021631685,-58.3895955235586,121451.0,False
-34.7909861826968,-58.4051947065789,27620.5,False
-34.7273607491723,-58.4305869359055,27620.5,False
-34.7056984765634,-58.4444661837853,27620.5,False
-34.5624048813532,-59.1782599099431,27620.5,False
-34.556551592138,-59.2039851566143,27620.5,False
-34.585483315075,-59.0582810577968,27620.5,False
-34.5668483579023,-59.1145118021941,106899.0,False
-34.5749128692338,-59.1795153909267,27620.5,False
-34.5988546032712,-59.1772915460468,27620.5,False
-34.5182228509915,-59.0925688618089,27620.5,False
-34.4914919706787,-59.0775054640689,27620.5,True
-34.4558324468983,-58.708597430815,27620.5,False
-34.489012469155,-58.7263870544297,85189.0,False
-34.5004713123991,-58.6620356056574,27620.5,False
-34.4894723154381,-58.7060917266721,38470.0,False
-34.5020886294655,-58.6949943511423,60867.0,False
-34.4947444924354,-58.6996332398151,27620.5,False
-34.4745167101605,-58.7549456664352,41390.0,False
-34.5066088363881,-58.6789744017667,43405.0,False
-37.7716100804643,-57.4473118294385,27620.5,False
-37.7826448217598,-57.4598549284262,27620.5,False
-37.7762894782296,-57.4511483919747,27620.5,True
-37.8477075092505,-57.513264752301,27620.5,False
-37.8244829233582,-57.4918495062702,27620.5,False
-37.8588472563325,-57.5134774219646,27620.5,False
-37.8734909293914,-57.519182373008,27620.5,False
-37.8374444618433,-57.5019980900645,27620.5,True
-37.8636154583608,-57.5171498429115,27620.5,False
-34.9062918893911,-58.7065478303317,27620.5,False
-34.7843157222504,-58.8353369572326,67011.0,True
-34.6986375194331,-58.6902324564792,100324.0,False
-34.7229209217964,-58.7954060298585,54081.0,False
-34.6669700024931,-58.7279503131722,244168.0,False
-34.7502592618593,-58.7012570872713,27620.5,False
-34.6626656411117,-58.6981263626469,37775.0,False
-34.5488244343934,-58.8098794651516,27620.5,False
-34.6331919907166,-58.8554657978739,27620.5,False
-34.6390127276427,-58.8266931262593,47839.0,False
-34.6469059433022,-58.7889292381186,27620.5,False
-34.6531326691341,-58.7612422196769,27620.5,False
-34.5907374661606,-58.7556254923224,27620.5,False
-34.6518205338135,-58.6460475077958,107786.0,False
-34.6108556165017,-58.5956810077115,74757.0,False
-34.6436075977527,-58.5945223728959,37745.0,False
-34.6333593873734,-58.5704071179586,27620.5,False
-38.5712233301397,-58.7262420207665,90000.0,True
-38.5661133487233,-58.7061807944671,27620.5,False
-38.5599736314668,-58.6284817778164,27620.5,False
-36.8799103261886,-60.1774961047109,27620.5,False
-36.8665431549573,-60.161834312253,27620.5,True
-36.9327185415247,-60.1613850642696,27620.5,False
-36.9438085052348,-60.1583509841298,27620.5,False
-34.4502158741149,-58.7986321054863,27620.5,False
-34.4278831571111,-58.9936681977088,27620.5,False
-34.4484860405622,-58.846095707197,27620.5,False
-34.4230504480055,-58.7927540749802,27620.5,False
-34.4503831705186,-59.0070416860588,27620.5,False
-34.508617703129,-58.8613535584736,27620.5,False
-34.4073856736919,-58.7801774138414,27620.5,False
-34.4569822956164,-58.9139117853571,81120.0,True
-34.4922671765476,-58.8390198925922,27620.5,False
-34.432379801221,-58.7724236466929,27620.5,False
