ESTADO;NOMBRE NODO;ACRONIMO;PROVINCIA;COORDENADAS
ENSERVICIO;VILLANUEVA;RARBVNU01;BUENOS AIRES;[-58.435992,-35.675036]
ENSERVICIO;VILLA GESELL;RARBVGL01;BUENOS AIRES;[-56.974533,-37.256008]
ENSERVICIO;RANCHOS;RARBRCH01;BUENOS AIRES;[-58.309639,-35.519417]
ENSERVICIO;PINAMAR;RARBPNM01;BUENOS AIRES;[-56.896778,-37.117656]
ENSERVICIO;MAR AZUL;RARBMRA01;BUENOS AIRES;[-57.040658,-37.331744]
ENSERVICIO;LAS TONINAS;RARBLTN01;BUENOS AIRES;[-56.701869,-36.488492]
ENSERVICIO;LAS ARMAS;RARBLAR01;BUENOS AIRES;[-57.827286,-37.0842]
ENSERVICIO;GENERAL JUAN MADARIAGA;RARBGMD01;BUENOS AIRES;[-57.11680556,-37.0054722]
ENSERVICIO;GENERAL BELGRANO;RARBGBG01;BUENOS AIRES;[-58.48758889,-35.7640306]
ENSERVICIO;TOLLOCHE;RARATLL01;SALTA;[-63.52088611,-25.52497222]
ENSERVICIO;TOLOMBON;RARATLB01;SALTA;[-65.94025,-26.181472]
ENSERVICIO;SAN CARLOS;RARASNC01;SALTA;[-65.93025,-25.893781]
ENSERVICIO;SAN JOSE DE METAN;RARASJM01;SALTA;[-64.97245278,-25.48421389]
ENSERVICIO;SECLANTAS;RARASEC01;SALTA;[-66.245903,-25.330528]
ENSERVICIO;SAN ANTONIO DE LOS COBRES;RARASAC01;SALTA;[-66.31695278,-24.21732778]
ENSERVICIO;PAYOGASTA;RARAPYG01;SALTA;[-66.09693333,-25.04851389]
ENSERVICIO;NUESTRA SENORA DE TALAVERA;RARANST01;SALTA;[-63.77564167,-25.45956389]
ENSERVICIO;MOLINOS;RARAMLN01;SALTA;[-66.29777778,-25.43830556]
ENSERVICIO;MISION KILOMETRO 6;RARAMKS01;SALTA;[-63.75091667,-22.51030556]
ENSERVICIO;LA POMA;RARALPM01;SALTA;[-66.20116389,-24.72485556]
ENSERVICIO;JOAQUIN V. GONZALEZ;RARAJVG01;SALTA;[-64.12920833,-25.12135556]
ENSERVICIO;GAONA;RARAGAO01;SALTA;[-64.03605556,-25.24143333]
ENSERVICIO;EL TUNAL;RARAETN01;SALTA;[-64.39253889,-25.25191944]
ENSERVICIO;EL QUEBRACHAL;RARAELQ01;SALTA;[-64.01962778,-25.33546944]
ENSERVICIO;EL GALPON;RARAEGP01;SALTA;[-64.65725,-25.38356111]
ENSERVICIO;CAFAYATE;RARACFY01;SALTA;[-65.98448889,-26.0725]
ENSERVICIO;CEIBALITO;RARACEA01;SALTA;[-64.274592,-25.110144]
ENSERVICIO;CACHI;RARACCH01;SALTA;[-66.155661,-25.121139]
ENSERVICIO;ANIMANA;RARAANM01;SALTA;[-65.947442,-25.967294]
ENSERVICIO;ANGASTACO;RARAAGA01;SALTA;[-66.166944,-25.6692875]
ENSERVICIO;PUESTO SEY;RARYPSY01;JUJUY;[-66.48796111,-23.94695556]
ENSERVICIO;PASTOS CHICOS;RARYPSC01;JUJUY;[-66.43937222,-23.76453333]
ENSERVICIO;HUANCAR;RARYHNC01;JUJUY;[-66.41061111,-23.563375]
ENSERVICIO;VILLA LA RIVERA;RARSVLR01;SANTA FE;[-60.82102778,-32.634925]
ENSERVICIO;VILLA AMELIA;RARSVAM01;SANTA FE;[-60.66563333,-33.1772833]
ENSERVICIO;SANTA TERESA;RARSSTS01;SANTA FE;[-60.78574444,-33.44210278]
ENSERVICIO;SAN FABIAN;RARSSFB01;SANTA FE;[-60.98194444,-32.1361944]
ENSERVICIO;ROSARIO (MPLS);RARSRSR02;SANTA FE;[-60.6300888889,-33.0141527778]
ENSERVICIO;ROSARIO (DWDM);RARSRSR01;SANTA FE;[-60.6300888889,-33.0141527778]
ENSERVICIO;ROLDAN;RARSRLD01;SANTA FE;[-60.91155556,-32.8993889]
ENSERVICIO;PAVON ARRIBA;RARSPVA01;SANTA FE;[-60.82685556,-33.31085]
ENSERVICIO;PUEBLO URANGA;RARSPUR01;SANTA FE;[-60.704975,-33.2621611]
ENSERVICIO;PEYRANO;RARSPEY01;SANTA FE;[-60.79868333,-33.5373472]
ENSERVICIO;PAVON;RARSPAV01;SANTA FE;[-60.40548333,-33.2419972]
ENSERVICIO;OLIVEROS;RARSOLI01;SANTA FE;[-60.85575556,-32.5743444]
ENSERVICIO;MONJE;RARSMNJ01;SANTA FE;[-60.94336111,-32.35336111]
ENSERVICIO;MACIEL;RARSMCL01;SANTA FE;[-60.89463889,-32.4612222]
ENSERVICIO;LOS MUCHACHOS - LA ALBORADA;RARSLMC01;SANTA FE;[-60.71164444,-33.0875111]
ENSERVICIO;SAN JERONIMO SUD;RARSJSD01;SANTA FE;[-61.02789722,-32.8784694]
ENSERVICIO;GENERAL LAGOS;RARSGLG01;SANTA FE;[-60.56377778,-33.1149028]
ENSERVICIO;FUNES;RARSFNS01;SANTA FE;[-60.78891944,-32.924025]
ENSERVICIO;FIGHIERA;RARSFGH01;SANTA FE;[-60.46653333,-33.1975694]
ENSERVICIO;EMPALME VILLA CONSTITUCION;RARSEVC01;SANTA FE;[-60.36963889,-33.24963889]
ENSERVICIO;CORREA (DESVINCULADO);RARSCOR01;SANTA FE;[-61.25527778,-32.8483917]
ENSERVICIO;CANADA DE GOMEZ;RARSCGO01;SANTA FE;[-61.4128972222,-32.8168916667]
ENSERVICIO;CUATRO ESQUINAS;RARSCEQ01;SANTA FE;[-60.76273889,-33.2445778]
ENSERVICIO;CORONEL RODOLFO S. DOMINGUEZ (DESVINCULADO);RARSCDG01;SANTA FE;[-60.722481,-33.182814]
ENSERVICIO;CARCARANA;RARSCCR01;SANTA FE;[-61.15175,-32.8565556]
ENSERVICIO;BUSTINZA;RARSBTZ01;SANTA FE;[-61.29375278,-32.73511944]
ENSERVICIO;BARRANCAS;RARSBCS01;SANTA FE;[-60.99059444,-32.23239444]
ENSERVICIO;ARROYO SECO;RARSASE01;SANTA FE;[-60.52825,-33.16727778]
ENSERVICIO;ALVEAR (BARRIO SABETTI);RARSALV01;SANTA FE;[-60.615589,-33.061306]
ENSERVICIO;VICTORIA;RAREVCT01;ENTRE RIOS;[-60.14625556,-32.630175]
ENSERVICIO;RINCON DE NOGOYA;RARERNY01;ENTRE RIOS;[-59.90544444,-32.7811389]
ENSERVICIO;NOGOYA;RARENGY01;ENTRE RIOS;[-59.78256944,-32.39550833]
ENSERVICIO;LA EMILIA;RARBLEM01;BUENOS AIRES;[-60.313197,-33.353608]
ENSERVICIO;URUTAU;RARGURT01;SANTIAGO DEL ESTERO;[-63.044978,-25.717536]
ENSERVICIO;PAMPA DE LOS GUANACOS;RARGPGU01;SANTIAGO DEL ESTERO;[-61.83016944,-26.23578611]
ENSERVICIO;MONTE QUEMADO;RARGMQM01;SANTIAGO DEL ESTERO;[-62.82836667,-25.81192778]
ENSERVICIO;LOS TIGRES;RARGLTG01;SANTIAGO DEL ESTERO;[-62.59420556,-25.90975556]
ENSERVICIO;LOS PIRPINTOS;RARGLPP01;SANTIAGO DEL ESTERO;[-62.07295556,-26.13309167]
ENSERVICIO;EL CABURE;RARGECB01;SANTIAGO DEL ESTERO;[-62.33858056,-26.01355278]
ENSERVICIO;TACO POZO;RARHTPZ01;CHACO;[-63.266389,-25.614972]
ENSERVICIO;PRESIDENCIA ROQUE SAENZ PEÑA;RARHRSP01;CHACO;[-60.431825,-26.797369]
ENSERVICIO;PAMPA DEL INFIERNO;RARHPIF01;CHACO;[-61.175972,-26.504111]
ENSERVICIO;NAPALPI;RARHNPP01;CHACO;[-60.130147,-26.900689]
ENSERVICIO;CONCEPCION DEL BERMEJO;RARHCBM01;CHACO;[-60.948417,-26.599389]
ENSERVICIO;COLONIA ABORIGEN;RARHCAB01;CHACO;[-60.203231,-26.956367]
ENSERVICIO;SAMPACHO;RARXSMP01;CORDOBA;[-64.72198495,-33.3845383]
ENSERVICIO;SANTA CATALINA (EST. HOLMBERG -DESVINCULADO);RARXSCA01;CORDOBA;[-64.43331428,-33.20717473]
ENSERVICIO;RIO TERCERO;RARXRTC01;CORDOBA;[-64.1025,-32.17058333]
ENSERVICIO;RIO CUARTO;RARXRCT01;CORDOBA;[-64.38693056,-33.10645278]
ENSERVICIO;LAS PERDICES;RARXPRD01;CORDOBA;[-63.6996,-32.69505]
ENSERVICIO;LAS VERTIENTES;RARXLVR01;CORDOBA;[-64.580719,-33.286492]
ENSERVICIO;LOS CONDORES;RARXLCN01;CORDOBA;[-64.28185812,-32.32263276]
ENSERVICIO;HERNANDO (SILICA);RARXHRN01;CORDOBA;[-63.598501,-32.553868]
ENSERVICIO;GENERAL CABRERA;RARXGCB01;CORDOBA;[-63.85993056,-32.8088361]
ENSERVICIO;DALMACIO VELEZ;RARXDVL01;CORDOBA;[-63.57846667,-32.6121833]
ENSERVICIO;CARNERILLO;RARXCRN01;CORDOBA;[-64.02265556,-32.9120056]
ENSERVICIO;CHAJAN;RARXCJN01;CORDOBA;[-65.00178611,-33.5534778]
ENSERVICIO;CHUCUL;RARXCCU01;CORDOBA;[-64.170408,-33.010792]
ENSERVICIO;CORONEL BAIGORRIA;RARXCBA01;CORDOBA;[-64.3612475,-32.8499906]
ENSERVICIO;BULNES;RARXBUL01;CORDOBA;[-64.678982,-33.501514]
ENSERVICIO;BERROTARAN;RARXBER01;CORDOBA;[-64.393537,-32.449162]
ENSERVICIO;ALMAFUERTE;RARXAMF01;CORDOBA;[-64.26303611,-32.19078889]
ENSERVICIO;ALCIRA GIGENA;RARXALC01;CORDOBA;[-64.339694444,-32.753263889]
ENSERVICIO;TRES LAGOS;RARZTLG01;SANTA CRUZ;[-71.45290278,-49.59894167]
ENSERVICIO;RIO GALLEGOS;RARZRGG01;SANTA CRUZ;[-69.236325,-51.62403889]
ENSERVICIO;GOBERNADOR GREGORES;RARZGGG01;SANTA CRUZ;[-70.24986111,-48.749]
ENSERVICIO;ESPERANZA;RARZEPZ01;SANTA CRUZ;[-70.77724444,-51.02861111]
ENSERVICIO;EL CALAFATE;RARZECF01;SANTA CRUZ;[-72.25456944,-50.33863611]
ENSERVICIO;SAN LORENZO;RARWSLR01;CORRIENTES;[-58.76494444,-28.13572222]
ENSERVICIO;RIACHUELO;RARWRIA01;CORRIENTES;[-58.74640833,-27.583275]
ENSERVICIO;EL SOMBRERO;RARWESM01;CORRIENTES;[-58.76213889,-27.70127778]
ENSERVICIO;EMPEDRADO;RARWEPD01;CORRIENTES;[-58.80503333,-27.95320278]
ENSERVICIO;CORRIENTES;RARWCRR01;CORRIENTES;[-58.85348889,-27.47392778]
ENSERVICIO;RESISTENCIA;RARHRST01;CHACO;[-58.98723889,-27.45595]
ENSERVICIO;PRESIDENCIA DE LA PLAZA;RARHPPZ01;CHACO;[-59.834403,-27.004433]
ENSERVICIO;PUERTO EVA PERON;RARHPEV01;CHACO;[-58.632381,-26.664489]
ENSERVICIO;PUERTO BERMEJO NUEVO;RARHPBN01;CHACO;[-58.54475,-26.907944]
ENSERVICIO;MAKALLE;RARHMAK01;CHACO;[-59.286583,-27.208278]
ENSERVICIO;LA SABANA;RARHLSB01;CHACO;[-59.938389,-27.871444]
ENSERVICIO;LAPACHITO;RARHLPT01;CHACO;[-59.387814,-27.159353]
