city,lat,lng,country,iso2,admin_name,capital,population,population_proper
San Antonio de Areco,-34.2500,-59.4667,Argentina,AR,Buenos Aires,minor,26897,26897
San Antonio Oeste,-40.7333,-64.9500,Argentina,AR,Río Negro,minor,26718,26718
San Andrés de Giles,-34.4333,-59.4333,Argentina,AR,Buenos Aires,minor,26510,26510
Pérez,-33.0000,-60.7667,Argentina,AR,Santa Fe,,26448,26448
Tres Isletas,-26.3500,-60.4167,Argentina,AR,Chaco,minor,26416,26416
Arrecifes,-34.0631,-60.1026,Argentina,AR,Buenos Aires,minor,26400,26400
Villa Nueva,-32.4331,-63.2475,Argentina,AR,Córdoba,,26359,26359
Muñiz,-34.5513,-58.7047,Argentina,AR,Buenos Aires,,26221,26221
Montecarlo,-26.5662,-54.7570,Argentina,AR,Misiones,minor,26027,26027
Carmen de Patagones,-40.7833,-62.9667,Argentina,AR,Buenos Aires,minor,25982,25982
Dolores,-36.3132,-57.6792,Argentina,AR,Buenos Aires,minor,25940,25940
Malagueño,-31.4639,-64.3575,Argentina,AR,Córdoba,,25918,25918
Firmat,-33.4500,-61.4833,Argentina,AR,Santa Fe,,25758,25758
Mar de Ajó,-36.7203,-56.6878,Argentina,AR,Buenos Aires,,25520,25520
Cosquín,-31.2440,-64.4666,Argentina,AR,Córdoba,minor,25461,25461
Deán Funes,-30.4333,-64.3500,Argentina,AR,Córdoba,minor,25360,25360
Caroya,-31.0333,-64.0933,Argentina,AR,Córdoba,,25261,25261
Puerto Rico,-26.8169,-55.0271,Argentina,AR,Misiones,minor,23526,23526
Colón,-33.8833,-61.1000,Argentina,AR,Buenos Aires,minor,23206,23206
Colón,-32.2241,-58.1419,Argentina,AR,Entre Ríos,minor,23150,23150
Carlos Casares,-35.6167,-61.3667,Argentina,AR,Buenos Aires,minor,23100,23100
Las Breñas,-27.0897,-61.0816,Argentina,AR,Chaco,minor,22953,22953
El Calafate,-50.3378,-72.2600,Argentina,AR,Santa Cruz,minor,22844,22844
Vera,-29.4667,-60.2167,Argentina,AR,Santa Fe,minor,22747,22747
Joaquín V. González,-25.1171,-64.1247,Argentina,AR,Salta,minor,22660,22660
General Viamonte,-35.0000,-61.0333,Argentina,AR,Buenos Aires,minor,22649,22649
Laboulaye,-34.1267,-63.3911,Argentina,AR,Córdoba,minor,22609,22609
El Carmen,-24.3875,-65.2592,Argentina,AR,Jujuy,minor,22438,22438
Saladas,-28.2538,-58.6259,Argentina,AR,Corrientes,minor,22347,22347
La Quiaca,-22.1056,-65.6000,Argentina,AR,Jujuy,minor,22211,22211
San Martín,-31.4372,-68.5256,Argentina,AR,San Juan,minor,22046,22046
Coronda,-31.9667,-60.9167,Argentina,AR,Santa Fe,minor,21643,21643
Federal,-30.9500,-58.8000,Argentina,AR,Entre Ríos,minor,21638,21638
Diamante,-32.0667,-60.6500,Argentina,AR,Entre Ríos,minor,21562,21562
San José de Jáchal,-30.2417,-68.7466,Argentina,AR,San Juan,minor,21018,21018
General Belgrano,-35.7500,-58.5000,Argentina,AR,Buenos Aires,minor,20791,20791
San Luis del Palmar,-27.5167,-58.5667,Argentina,AR,Corrientes,minor,20491,20491
Santa Lucía,-28.9833,-59.1000,Argentina,AR,Corrientes,minor,20163,20163
Federación,-30.9833,-57.9167,Argentina,AR,Entre Ríos,minor,19938,19938
Puerto Esperanza,-26.0167,-54.6500,Argentina,AR,Misiones,minor,19237,19237
Junín de los Andes,-39.9506,-71.0694,Argentina,AR,Neuquén,minor,18716,18716
General Juan Madariaga,-37.0167,-57.1333,Argentina,AR,Buenos Aires,minor,18089,18089
General Las Heras,-34.9167,-58.9333,Argentina,AR,Buenos Aires,minor,18022,18022
Cafayate,-26.0700,-65.9800,Argentina,AR,Salta,minor,17829,17829
Villa del Rosario,-31.5833,-63.5333,Argentina,AR,Córdoba,minor,17680,17680
Carhué,-37.1667,-62.7333,Argentina,AR,Buenos Aires,minor,17552,17552
San Javier,-30.5833,-59.9500,Argentina,AR,Santa Fe,minor,17504,17504
Carmen de Areco,-34.3833,-59.8167,Argentina,AR,Buenos Aires,minor,17499,17499
Ayacucho,-37.1525,-58.4882,Argentina,AR,Buenos Aires,minor,17364,17364
Tostado,-29.2333,-61.7667,Argentina,AR,Santa Fe,minor,17057,17057
General Pinedo,-27.3167,-61.2833,Argentina,AR,Chaco,minor,16950,16950
Rosario del Tala,-32.3008,-59.1389,Argentina,AR,Entre Ríos,minor,16813,16813
Puerto Deseado,-47.7500,-65.9167,Argentina,AR,Santa Cruz,minor,16812,16812
San Julián,-49.3070,-67.7298,Argentina,AR,Santa Cruz,minor,16812,16812
Daireaux,-36.6000,-61.7500,Argentina,AR,Buenos Aires,minor,16804,16804
Rauch,-36.7667,-59.1000,Argentina,AR,Buenos Aires,minor,16635,16635
Puan,-37.5500,-62.7667,Argentina,AR,Buenos Aires,minor,16613,16613
Belén,-27.6500,-67.0333,Argentina,AR,Catamarca,minor,16581,16581
Tinogasta,-28.0667,-67.5667,Argentina,AR,Catamarca,minor,16571,16571
Andalgalá,-27.6000,-66.3167,Argentina,AR,Catamarca,minor,16513,16513
General Arenales,-34.3000,-61.3000,Argentina,AR,Buenos Aires,minor,16350,16350
San Salvador,-31.6167,-58.5000,Argentina,AR,Entre Ríos,minor,16251,16251
Humahuaca,-23.2054,-65.3505,Argentina,AR,Jujuy,minor,15992,15992
Capitán Sarmiento,-34.1833,-59.7667,Argentina,AR,Buenos Aires,minor,15965,15965
Santa Rosa,-33.2542,-68.1508,Argentina,AR,Mendoza,minor,15818,15818
Chos Malal,-37.3833,-70.2667,Argentina,AR,Neuquén,minor,15567,15567
San Javier,-27.8739,-55.1348,Argentina,AR,Misiones,minor,15557,15557
San Cristóbal,-30.3105,-61.2372,Argentina,AR,Santa Fe,minor,15448,15448
Villa Paranacito,-33.7000,-58.6833,Argentina,AR,Entre Ríos,minor,15321,15321
Bella Vista,-27.0333,-65.3000,Argentina,AR,Tucumán,minor,15126,15126
Villa Ojo de Agua,-29.5019,-63.6925,Argentina,AR,Santiago del Estero,minor,15000,15000
Bernardo de Irigoyen,-26.2553,-53.6469,Argentina,AR,Misiones,minor,14920,14920
Empedrado,-27.9543,-58.8089,Argentina,AR,Corrientes,minor,14903,14903
La Carlota,-33.4179,-63.2935,Argentina,AR,Córdoba,minor,14571,14571
Las Rosas,-32.4833,-61.5833,Argentina,AR,Santa Fe,minor,14480,14480
San José de Feliciano,-30.3833,-58.7500,Argentina,AR,Entre Ríos,minor,14440,14440
Benito Juárez,-37.6667,-59.7833,Argentina,AR,Buenos Aires,minor,14279,14279
Villa La Angostura,-40.7616,-71.6448,Argentina,AR,Neuquén,minor,14246,14246
Ranchos,-35.5333,-58.2833,Argentina,AR,Buenos Aires,minor,14207,14207
Campo Grande,-27.2079,-54.9797,Argentina,AR,Misiones,minor,14170,14170
Villa Berthet,-27.2667,-60.4167,Argentina,AR,Chaco,minor,14161,14161
Carlos Tejedor,-35.3833,-62.4167,Argentina,AR,Buenos Aires,minor,14079,14079
Presidencia de la Plaza,-26.9833,-59.8333,Argentina,AR,Chaco,minor,13956,13956
Pigüé,-37.6000,-62.4000,Argentina,AR,Buenos Aires,minor,13822,13822
Choele Choel,-39.2858,-65.6542,Argentina,AR,Río Negro,minor,13657,13657
Oliva,-32.0416,-63.5698,Argentina,AR,Córdoba,minor,13179,13179
General Alvear,-36.0333,-60.0167,Argentina,AR,Buenos Aires,minor,13031,13031
