city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Pilcaniyeu,-41.1233,-70.7200,Argentina,AR,Río Negro,minor,757,757
La Puerta,-28.1667,-65.7833,Argentina,AR,Catamarca,minor,752,752
Villa Unión,-29.4128,-62.7872,Argentina,AR,Santiago del Estero,minor,719,719
Valle Grande,-23.4762,-64.9486,Argentina,AR,Jujuy,minor,668,668
Gastre,-42.2667,-69.2167,Argentina,AR,Chubut,minor,612,612
El Cuy,-39.9269,-68.3450,Argentina,AR,Río Negro,minor,609,609
Ñorquinco,-41.8500,-70.9000,Argentina,AR,Río Negro,minor,593,593
Las Plumas,-43.7167,-67.2500,Argentina,AR,Chubut,minor,589,589
Telsen,-42.3833,-66.9500,Argentina,AR,Chubut,minor,577,577
Puelches,-38.1500,-65.9167,Argentina,AR,La Pampa,minor,538,538
Algarrobo del Águila,-36.4010,-67.1452,Argentina,AR,La Pampa,minor,526,526
Villa General Roca,-32.6662,-66.4518,Argentina,AR,San Luis,minor,290,290
Cuchillo Có,-38.3333,-64.6167,Argentina,AR,La Pampa,minor,287,287
Limay Mahuida,-37.1592,-66.6751,Argentina,AR,La Pampa,minor,162,162
Villa del Salvador,-31.4531,-68.4039,Argentina,AR,San Juan,minor,110,110
La Paz,-33.4667,-67.5500,Argentina,AR,Mendoza,minor,11,11
Olivos,-34.5075,-58.4870,Argentina,AR,Buenos Aires,minor,,
Santa Lucía,-31.5399,-68.4950,Argentina,AR,San Juan,minor,,
Dolores,-30.9060,-64.5358,Argentina,AR,Córdoba,minor,,
Monte Hermoso,-38.9167,-61.5500,Argentina,AR,Buenos Aires,minor,,
Villa Alberdi,-27.5859,-65.6204,Argentina,AR,Tucumán,minor,,
San Pedro,-24.2313,-64.8661,Argentina,AR,Jujuy,minor,,
Santa Ana,-27.3692,-55.5817,Argentina,AR,Misiones,minor,,
Fernández,-27.9167,-63.8833,Argentina,AR,Santiago del Estero,minor,,
Salto,-34.2929,-60.2546,Argentina,AR,Buenos Aires,minor,,
La Cocha,-27.7700,-65.5858,Argentina,AR,Tucumán,minor,,
Villa San Isidro,-31.4868,-68.3254,Argentina,AR,San Juan,minor,,
Santa Rosa del Conlara,-32.3428,-65.2089,Argentina,AR,San Luis,minor,,
Tupungato,-33.3715,-69.1484,Argentina,AR,Mendoza,minor,,
San Miguel del Monte,-35.4396,-58.8067,Argentina,AR,Buenos Aires,minor,,
Saladillo,-35.6371,-59.7779,Argentina,AR,Buenos Aires,minor,,
Suipacha,-34.7702,-59.6878,Argentina,AR,Buenos Aires,minor,,
Rojas,-34.1953,-60.7350,Argentina,AR,Buenos Aires,minor,,
San Pedro,-26.6221,-54.1084,Argentina,AR,Misiones,minor,,
Burruyacú,-26.4981,-64.7411,Argentina,AR,Tucumán,minor,,
Vedia,-34.4956,-61.5414,Argentina,AR,Buenos Aires,minor,,
Balcarce,-37.8464,-58.2556,Argentina,AR,Buenos Aires,minor,,
Salliqueló,-36.7522,-62.9605,Argentina,AR,Buenos Aires,minor,,
Concarán,-32.5583,-65.2444,Argentina,AR,San Luis,minor,,
Graneros,-27.6483,-65.4394,Argentina,AR,Tucumán,minor,,
Metán,-25.4990,-64.9739,Argentina,AR,Salta,minor,,
San Carlos de Bolívar,-36.2500,-61.1000,Argentina,AR,Buenos Aires,minor,,
Aimogasta,-28.5509,-66.8147,Argentina,AR,La Rioja,minor,,
Verónica,-35.3880,-57.3369,Argentina,AR,Buenos Aires,minor,,
Herrera,-28.4809,-63.0678,Argentina,AR,Santiago del Estero,minor,,
Ameghino,-34.8440,-62.4670,Argentina,AR,Buenos Aires,minor,,
Espinillo,-24.9667,-58.5667,Argentina,AR,Formosa,minor,,
Intendente Alvear,-35.2333,-63.5833,Argentina,AR,La Pampa,minor,,
San Francisco de Laishí,-26.2417,-58.6322,Argentina,AR,Formosa,minor,,
Villa Atamisqui,-28.4964,-63.8178,Argentina,AR,Santiago del Estero,minor,,
Villa Santa Rosa,-31.7443,-68.3141,Argentina,AR,San Juan,minor,,
General Enrique Mosconi,-23.2167,-62.3000,Argentina,AR,Formosa,minor,,
Coronel Pringles,-37.9829,-61.3562,Argentina,AR,Buenos Aires,minor,,
La Merced,-28.1544,-65.6595,Argentina,AR,Catamarca,minor,,
Los Telares,-28.9850,-63.4483,Argentina,AR,Santiago del Estero,minor,,
Quemú Quemú,-36.0500,-63.5500,Argentina,AR,La Pampa,minor,,
Toay,-36.6750,-64.3785,Argentina,AR,La Pampa,minor,,
La Toma,-33.0500,-65.6167,Argentina,AR,San Luis,minor,,
Berón de Astrada,-27.5507,-57.5346,Argentina,AR,Corrientes,minor,,
La Consulta,-33.7358,-69.1218,Argentina,AR,Mendoza,minor,,
Aminga,-28.8477,-66.9304,Argentina,AR,La Rioja,minor,,
San Pedro,-27.9539,-65.1664,Argentina,AR,Santiago del Estero,minor,,
San Cayetano,-38.3465,-59.6095,Argentina,AR,Buenos Aires,minor,,
Esquiú,-29.3833,-65.2833,Argentina,AR,Catamarca,minor,,
Garza,-28.1500,-63.5167,Argentina,AR,Santiago del Estero,minor,,
Pozo Hondo,-27.1667,-64.4833,Argentina,AR,Santiago del Estero,minor,,
Winifreda,-36.2275,-64.2335,Argentina,AR,La Pampa,minor,,
Olta,-30.6160,-66.2660,Argentina,AR,La Rioja,minor,,
Eduardo Castex,-35.9000,-64.3000,Argentina,AR,La Pampa,minor,,
Sumampa,-29.3828,-63.4697,Argentina,AR,Santiago del Estero,minor,,
Guatraché,-37.6670,-63.5378,Argentina,AR,La Pampa,minor,,
San Francisco del Monte de Oro,-32.6000,-66.1250,Argentina,AR,San Luis,minor,,
Villa de María,-29.9020,-63.7229,Argentina,AR,Córdoba,minor,,
Selva,-29.7667,-62.0333,Argentina,AR,Santiago del Estero,minor,,
Sañogasta,-29.0952,-67.1159,Argentina,AR,La Rioja,minor,,
Milagro,-31.0167,-65.9833,Argentina,AR,La Rioja,minor,,
Molinos,-25.4167,-66.3167,Argentina,AR,Salta,minor,,
Leleque,-42.4125,-71.0717,Argentina,AR,Chubut,minor,,
Campo Gallo,-26.5833,-62.8500,Argentina,AR,Santiago del Estero,minor,,
Pila,-36.0006,-58.1439,Argentina,AR,Buenos Aires,minor,,
Libertador General San Martín,-32.4106,-65.6756,Argentina,AR,San Luis,minor,,
Malanzán,-30.8000,-66.6160,Argentina,AR,La Rioja,minor,,
Laguna Yema,-24.2500,-61.2500,Argentina,AR,Formosa,minor,,
Ulapes,-31.5830,-66.2500,Argentina,AR,La Rioja,minor,,
Río Colorado,-38.9940,-64.0929,Argentina,AR,Río Negro,minor,,
Tama,-30.5078,-66.5453,Argentina,AR,La Rioja,minor,,
Patquía,-30.0500,-66.8830,Argentina,AR,La Rioja,minor,,
Buena Esperanza,-34.7500,-65.2500,Argentina,AR,San Luis,minor,,
Tamberías,-31.4581,-69.4222,Argentina,AR,San Juan,minor,,
Vinchina,-28.7596,-68.2069,Argentina,AR,La Rioja,minor,,
